answer_id,question,sentence_id,sentence,wiki_title,wiki_evidence,predicted_label,gold_label,predicted_label_binary,gold_label_binary,notes,error_category
1,Who developed the theory of relativity?,2,He was born in Germany.,Albert Einstein,"Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity. Einstein also made important contributions to quantum theory. His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"". He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Unsupported,Supported,Unsupported,Supported,Evidence says Einstein was German-born.,Pronoun/coreference problem
2,What is the capital of France?,2,Paris is located in northern France.,Paris,"Paris is the capital and largest city of France, with an estimated city population of 2.04 million in an area of 105.4 km2 (40.7 sq mi), and a metropolitan population of 13.2 million as of January 2026. Located on the river Seine in the centre of the Île-de-France region, it is the largest metropolitan area and fourth-most populous city in the European Union (EU). Nicknamed the ""City of Light"", partly because of its role in the Age of Enlightenment, Paris has been one of the world's major centres of finance, diplomacy, commerce, culture, fashion, and gastronomy since the 17th century.",Supported,Unsupported,Supported,Unsupported,Evidence locates Paris in the Île-de-France region but does not clearly state northern France.,Evidence incomplete / retrieval limitation
3,Who wrote Hamlet?,2,Shakespeare was an English playwright.,Hamlet,"The Tragedy of Hamlet, Prince of Denmark, often shortened to Hamlet, is a tragedy written by William Shakespeare sometime between 1599 and 1601. It is Shakespeare's longest play. Set in Denmark, the play depicts Prince Hamlet and his attempts to exact revenge against his uncle, Claudius, who has murdered Hamlet's father in order to seize his throne and marry Hamlet's mother.",Supported,Unsupported,Supported,Unsupported,Evidence mentions Shakespeare but does not state that he was an English playwright.,Evidence incomplete / retrieval limitation
3,Who wrote Hamlet?,3,Hamlet is one of his most famous tragedies.,Hamlet,"The Tragedy of Hamlet, Prince of Denmark, often shortened to Hamlet, is a tragedy written by William Shakespeare sometime between 1599 and 1601. It is Shakespeare's longest play. Set in Denmark, the play depicts Prince Hamlet and his attempts to exact revenge against his uncle, Claudius, who has murdered Hamlet's father in order to seize his throne and marry Hamlet's mother.",Supported,Unsupported,Supported,Unsupported,Evidence says Hamlet is Shakespeare's longest play but does not support 'one of his most famous tragedies'.,Subjective claim / evidence limitation
4,What planet is known as the Red Planet?,3,Mars is the largest planet in the solar system.,Mars,"Mars is the fourth planet from the Sun. It is also known as the ""Red Planet"", for its orange-red appearance. Mars is a desert-like rocky planet with a tenuous atmosphere that is primarily carbon dioxide. At the average surface level the atmospheric pressure is a few thousandths of Earth's, atmospheric temperature ranges from −153 to 20 °C, and cosmic radiation is high. Mars retains some water, in the ground as well as thinly in the atmosphere, forming cirrus clouds, fog, frost, larger polar regions of permafrost and ice caps, but no bodies of liquid surface water. Its surface gravity is roughly a third of Earth's or double that of the Moon. Its mean diameter, 6,779 km (4,212 mi), is about half the Earth's, or twice the Moon's, and its surface area is the size of all the dry land of Earth.",Supported,Contradicted,Supported,Unsupported,"Evidence describes Mars as smaller than Earth, so it cannot be the largest planet in the solar system.",Contradiction missed / topical overlap
6,Who painted the Mona Lisa?,1,The Mona Lisa was painted by Leonardo da Vinci.,Leonardo da Vinci,"Leonardo di ser Piero da Vinci was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. While his fame initially rested on his achievements as a painter, he has also become known for his notebooks, in which he made drawings and notes on a variety of subjects, including anatomy, astronomy, botany, cartography, painting, and palaeontology. Leonardo is widely regarded as a genius who epitomised the Renaissance humanist ideal, and his collective works contributed to the development of European art to an extent rivalled only by that of his younger contemporary Michelangelo.",Supported,Unsupported,Supported,Unsupported,Evidence says Leonardo was a painter but does not mention the Mona Lisa.,Evidence incomplete / retrieval limitation
6,Who painted the Mona Lisa?,2,Leonardo da Vinci was an Italian artist and inventor.,Leonardo da Vinci,"Leonardo di ser Piero da Vinci was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. While his fame initially rested on his achievements as a painter, he has also become known for his notebooks, in which he made drawings and notes on a variety of subjects, including anatomy, astronomy, botany, cartography, painting, and palaeontology. Leonardo is widely regarded as a genius who epitomised the Renaissance humanist ideal, and his collective works contributed to the development of European art to an extent rivalled only by that of his younger contemporary Michelangelo.",Supported,Unsupported,Supported,Unsupported,Evidence supports Italian artist/painter but does not clearly state inventor.,Evidence incomplete / retrieval limitation
7,What is the largest planet in the Solar System?,2,It is a gas giant.,Jupiter,"Jupiter is the fifth planet from the Sun, and the largest in the Solar System. It is a gas giant with a mass nearly 2.5 times that of all the other planets in the Solar System combined and slightly less than one-thousandth the mass of the Sun. The diameter of Jupiter is 11 times that of Earth and a tenth that of the Sun. It orbits the Sun at a distance of 5.20 AU (778.5 Gm), with an orbital period of 11.86 years. Jupiter is the third-brightest natural object in the Earth's night sky, after the Moon and Venus, and has been observed since prehistoric times. Its name derives from that of Jupiter, the chief deity of ancient Roman religion.",Unsupported,Supported,Unsupported,Supported,Evidence says Jupiter is a gas giant.,Pronoun/coreference problem
7,What is the largest planet in the Solar System?,3,Jupiter is smaller than Earth.,Jupiter,"Jupiter is the fifth planet from the Sun, and the largest in the Solar System. It is a gas giant with a mass nearly 2.5 times that of all the other planets in the Solar System combined and slightly less than one-thousandth the mass of the Sun. The diameter of Jupiter is 11 times that of Earth and a tenth that of the Sun. It orbits the Sun at a distance of 5.20 AU (778.5 Gm), with an orbital period of 11.86 years. Jupiter is the third-brightest natural object in the Earth's night sky, after the Moon and Venus, and has been observed since prehistoric times. Its name derives from that of Jupiter, the chief deity of ancient Roman religion.",Supported,Contradicted,Supported,Unsupported,"Evidence says Jupiter's diameter is 11 times Earth's, contradicting smaller than Earth.",Contradiction missed / topical overlap
8,Who developed the World Wide Web?,2,He is a British computer scientist.,Tim Berners-Lee,"Sir Timothy John Berners-Lee, also known as TimBL, is an English computer scientist best known as the inventor of the World Wide Web, HTML, the URL system, and HTTP. He is a professorial research fellow at the University of Oxford and a professor emeritus at the Massachusetts Institute of Technology (MIT).",Unsupported,Supported,Unsupported,Supported,"Evidence says he is an English computer scientist, which supports this claim in context.",Pronoun/coreference problem
