question,ai_answer,evidence_query
"Who developed the theory of relativity?","Albert Einstein developed the theory of relativity. He was born in Germany. He won the Nobel Prize in Physics in 1921.","Albert Einstein"
"What is the capital of France?","The capital of France is Paris. Paris is located in northern France. It is known for the Eiffel Tower.","Paris"
"Who wrote Hamlet?","Hamlet was written by William Shakespeare. Shakespeare was an English playwright. Hamlet is one of his most famous tragedies.","Hamlet"
"What planet is known as the Red Planet?","Mars is known as the Red Planet. It appears reddish because of iron oxide on its surface. Mars is the largest planet in the solar system.","Mars"
"Who was the first president of the United States?","George Washington was the first president of the United States. He served from 1789 to 1797. He was also a military leader during the American Revolution.","George Washington"
"Who painted the Mona Lisa?","The Mona Lisa was painted by Leonardo da Vinci. Leonardo da Vinci was an Italian artist and inventor. He was born in Spain.","Leonardo da Vinci"
"What is the largest planet in the Solar System?","Jupiter is the largest planet in the Solar System. It is a gas giant. Jupiter is smaller than Earth.","Jupiter"
"Who developed the World Wide Web?","Tim Berners-Lee developed the World Wide Web. He is a British computer scientist. The World Wide Web was created in the nineteenth century.","Tim Berners-Lee"
"What is the tallest mountain above sea level?","Mount Everest is the tallest mountain above sea level. It is located in the Himalayas. Mount Everest is located in South America.","Mount Everest"
"What is DNA?","DNA stands for deoxyribonucleic acid. It carries genetic information in living organisms. DNA is made of amino acids.","DNA"
"Who wrote Pride and Prejudice?","Pride and Prejudice was written by Jane Austen. It was first published in 1813. The novel was written by William Shakespeare.","Pride and Prejudice"
"What is the currency of Japan?","The currency of Japan is the yen. The yen is the official currency of Japan. Japan uses the euro as its official currency.","Japanese yen"
"What organ pumps blood through the human body?","The heart pumps blood through the human body. It is part of the circulatory system. The kidneys are mainly responsible for pumping blood.","Heart"
"What is the speed of light?","The speed of light in vacuum is about 299,792,458 meters per second. It is commonly represented by the symbol c. Light travels slower than sound in vacuum.","Speed of light"
"Who discovered penicillin?","Alexander Fleming discovered penicillin in 1928. Penicillin became an important antibiotic. Fleming was born in Scotland.","Alexander Fleming"
"What is photosynthesis?","Photosynthesis is the process plants use to make food. It uses light energy to convert carbon dioxide and water into sugars. Photosynthesis mainly happens in animals.","Photosynthesis"
"Where is the Great Pyramid of Giza located?","The Great Pyramid of Giza is located in Egypt. It is part of the Giza pyramid complex. It was built in modern-day China.","Great Pyramid of Giza"
"Who proposed the laws of motion?","Isaac Newton proposed the laws of motion. He was an English mathematician and physicist. Newton was born in Germany.","Isaac Newton"
"What is the chemical formula of water?","The chemical formula of water is H2O. Water is made of hydrogen and oxygen. Water is mainly composed of carbon dioxide.","Water"
"What is the largest ocean on Earth?","The Pacific Ocean is the largest ocean on Earth. It covers more area than any other ocean. The Atlantic Ocean is larger than the Pacific Ocean.","Pacific Ocean"
