question,ai_answer,evidence_query,answer_id,wiki_title,wiki_evidence,wiki_url,gold_label,similarity_score,predicted_label,correct
Who developed the theory of relativity?,Albert Einstein developed the theory of relativity. He was born in Germany. He won the Nobel Prize in Physics in 1921.,Albert Einstein,1,Albert Einstein,"Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity. Einstein also made important contributions to quantum theory. His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"". He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",https://en.wikipedia.org/wiki/Albert_Einstein,Supported,0.7263869047164917,Supported,True
What is the capital of France?,The capital of France is Paris. Paris is located in northern France. It is known for the Eiffel Tower.,Paris,2,Paris,"Paris is the capital and largest city of France, with an estimated city population of 2.04 million in an area of 105.4 km2 (40.7 sq mi), and a metropolitan population of 13.2 million as of January 2026. Located on the river Seine in the centre of the Île-de-France region, it is the largest metropolitan area and fourth-most populous city in the European Union (EU). Nicknamed the ""City of Light"", partly because of its role in the Age of Enlightenment, Paris has been one of the world's major centres of finance, diplomacy, commerce, culture, fashion, and gastronomy since the 17th century.",https://en.wikipedia.org/wiki/Paris,Unsupported,0.6456735134124756,Supported,False
Who wrote Hamlet?,Hamlet was written by William Shakespeare. Shakespeare was an English playwright. Hamlet is one of his most famous tragedies.,Hamlet,3,Hamlet,"The Tragedy of Hamlet, Prince of Denmark, often shortened to Hamlet, is a tragedy written by William Shakespeare sometime between 1599 and 1601. It is Shakespeare's longest play. Set in Denmark, the play depicts Prince Hamlet and his attempts to exact revenge against his uncle, Claudius, who has murdered Hamlet's father in order to seize his throne and marry Hamlet's mother.",https://en.wikipedia.org/wiki/Hamlet,Unsupported,0.7389524579048157,Supported,False
What planet is known as the Red Planet?,Mars is known as the Red Planet. It appears reddish because of iron oxide on its surface. Mars is the largest planet in the solar system.,Mars,4,Mars,"Mars is the fourth planet from the Sun. It is also known as the ""Red Planet"", for its orange-red appearance. Mars is a desert-like rocky planet with a tenuous atmosphere that is primarily carbon dioxide. At the average surface level the atmospheric pressure is a few thousandths of Earth's, atmospheric temperature ranges from −153 to 20 °C, and cosmic radiation is high. Mars retains some water, in the ground as well as thinly in the atmosphere, forming cirrus clouds, fog, frost, larger polar regions of permafrost and ice caps, but no bodies of liquid surface water. Its surface gravity is roughly a third of Earth's or double that of the Moon. Its mean diameter, 6,779 km (4,212 mi), is about half the Earth's, or twice the Moon's, and its surface area is the size of all the dry land of Earth.",https://en.wikipedia.org/wiki/Mars,Unsupported,0.668863832950592,Supported,False
Who was the first president of the United States?,George Washington was the first president of the United States. He served from 1789 to 1797. He was also a military leader during the American Revolution.,George Washington,5,George Washington,"George Washington was a Founding Father and the first president of the United States, serving from 1789 to 1797. As commander of the Continental Army, Washington led Patriot forces to victory in the American Revolutionary War against the British Empire. He is commonly known as the Father of His Country for his role in bringing about American independence.",https://en.wikipedia.org/wiki/George_Washington,Supported,0.8305801153182983,Supported,True
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci. Leonardo da Vinci was an Italian artist and inventor. He was born in Spain.,Leonardo da Vinci,6,Leonardo da Vinci,"Leonardo di ser Piero da Vinci was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. While his fame initially rested on his achievements as a painter, he has also become known for his notebooks, in which he made drawings and notes on a variety of subjects, including anatomy, astronomy, botany, cartography, painting, and palaeontology. Leonardo is widely regarded as a genius who epitomised the Renaissance humanist ideal, and his collective works contributed to the development of European art to an extent rivalled only by that of his younger contemporary Michelangelo.",https://en.wikipedia.org/wiki/Leonardo_da_Vinci,Unsupported,0.5664122104644775,Supported,False
What is the largest planet in the Solar System?,Jupiter is the largest planet in the Solar System. It is a gas giant. Jupiter is smaller than Earth.,Jupiter,7,Jupiter,"Jupiter is the fifth planet from the Sun, and the largest in the Solar System. It is a gas giant with a mass nearly 2.5 times that of all the other planets in the Solar System combined and slightly less than one-thousandth the mass of the Sun. The diameter of Jupiter is 11 times that of Earth and a tenth that of the Sun. It orbits the Sun at a distance of 5.20 AU (778.5 Gm), with an orbital period of 11.86 years. Jupiter is the third-brightest natural object in the Earth's night sky, after the Moon and Venus, and has been observed since prehistoric times. Its name derives from that of Jupiter, the chief deity of ancient Roman religion.",https://en.wikipedia.org/wiki/Jupiter,Unsupported,0.7476027607917786,Supported,False
Who developed the World Wide Web?,Tim Berners-Lee developed the World Wide Web. He is a British computer scientist. The World Wide Web was created in the nineteenth century.,Tim Berners-Lee,8,Tim Berners-Lee,"Sir Timothy John Berners-Lee, also known as TimBL, is an English computer scientist best known as the inventor of the World Wide Web, HTML, the URL system, and HTTP. He is a professorial research fellow at the University of Oxford and a professor emeritus at the Massachusetts Institute of Technology (MIT).",https://en.wikipedia.org/wiki/Tim_Berners-Lee,Unsupported,0.8144240975379944,Supported,False
What is the tallest mountain above sea level?,Mount Everest is the tallest mountain above sea level. It is located in the Himalayas. Mount Everest is located in South America.,Mount Everest,9,Mount Everest,"Mount Everest is the highest mountain on Earth above sea level. It lies in the Mahalangur Himal sub-range of the Himalayas and marks part of the China–Nepal border at its summit. Its height was most recently measured in 2020 through a joint survey by Nepalese and Chinese authorities as 8,848.86 m.",https://en.wikipedia.org/wiki/Mount_Everest,Unsupported,0.8537271618843079,Supported,False
What is DNA?,DNA stands for deoxyribonucleic acid. It carries genetic information in living organisms. DNA is made of amino acids.,DNA,10,DNA,"Deoxyribonucleic acid is a polymer composed of two polynucleotide chains that coil around each other to form a double helix. The polymer carries genetic instructions for the development, functioning, growth and reproduction of all known organisms and many viruses. DNA and ribonucleic acid (RNA) are nucleic acids. Alongside proteins, lipids and complex carbohydrates (polysaccharides), nucleic acids are one of the four major types of macromolecules that are essential for all known forms of life.",https://en.wikipedia.org/wiki/DNA,Unsupported,0.6639978885650635,Supported,False
